 loan_id, loan_type, interest_rate ,loan_amount,remaining_principal,accrued_interest,remaining_interest,total_outstanding,past_due_penalty,expired_penalty, disbursement_date,repayment_start_date,repayment_frequency,repayment_end_date, number_of_repayments,loan_status,
4900002464,   BUSINESS,0.6,1000,937.5,200,187.5,1125,0,0,16/03/2023,19/03/2023, Weekly ,02/07/2023,16,1,
4900002463,   BUSINESS,0.6,4000,3750,800,750,4500,0,0,16/03/2023,19/03/2023, Weekly ,02/07/2023,16,1,
4900001078,   BUSINESS,0.72,20000,10000,2400,1200,11200,0,0,26/01/2023,02/03/2023, Monthly ,02/04/2023,2,1,
4900002412,   BUSINESS,0.6,2000,1625,400,325,1950,0,0,27/02/2023,01/03/2023, Weekly ,14/06/2023,16,1,
4900001430,   BUSINESS,0.96,20000,10000.01,9600,4800,14800.01,0,0,05/12/2022,05/01/2023, Monthly ,07/06/2023,6,1,
4900000560,   BUSINESS,0.84,2000,500,560,140,640,9.64,0,22/12/2022,26/12/2022, Weekly ,10/04/2023,16,1,
4900002286,   BUSINESS,0.6,5000,1666.72,1500,497.28,2164,15.11,0,03/11/2022,10/11/2022, Weekly ,20/04/2023,24,1,
4900002264,   BUSINESS,0.6,5000,1041.73,1500,312.5,1354.23,0,0,03/11/2022,09/11/2022, Weekly ,19/04/2023,24,1,
4900002423,   BUSINESS,0.6,10000,9375,2000,1875,11250,0,0,12/03/2023,15/03/2023, Weekly ,28/06/2023,16,1,
4900002306,   BUSINESS,0.96,2500,1875,800,600,2475,2.17,0,26/01/2023,26/02/2023, Monthly ,28/05/2023,4,1,
4900001953,   BUSINESS,0.96,7000,5833.33,3360,2800,8633.33,0,0,16/02/2023,13/03/2023, Monthly ,16/08/2023,6,1,
4900001949,   BUSINESS,0.6,10000,7083.31,3000,2125,9208.31,0,0,30/01/2023,01/02/2023, Weekly ,12/07/2023,24,1,
4900002239,   BUSINESS,0.6,2000,1875,400,375,2250,0,0,15/03/2023,16/03/2023, Weekly ,29/06/2023,16,1,
4900002442,   BUSINESS,0.6,3000,2812.5,600,562.5,3375,0,0,14/03/2023,19/03/2023, Weekly ,02/07/2023,16,1,
4900002444,   BUSINESS,0.6,3000,2812.5,600,562.5,3375,0,0,15/03/2023,19/03/2023, Weekly ,02/07/2023,16,1,
4900000523,   BUSINESS,0.72,20000,12500,14400,8400,20900,658.2,0,14/09/2022,25/09/2022, Monthly ,30/08/2023,12,1,
4900000362,   BUSINESS,0.78,20000,18000,13000,11700,29700,0,0,31/10/2022,12/12/2022, Monthly ,17/09/2023,10,1,
4900002443,   BUSINESS,0.6,3000,2812.5,600,562.5,3375,0,0,15/03/2023,19/03/2023, Weekly ,02/07/2023,16,1,
4900002395,   BUSINESS,0.96,4000,3200,1600,1280,4480,0,0,14/02/2023,28/02/2023, Monthly ,04/07/2023,5,1,
4900002301,   BUSINESS,0.6,2462.88,2462.88,369.43,369.43,2832.31,0,0,06/11/2022,19/04/2023, Monthly ,18/06/2023,3,1,
4900001776,   BUSINESS,0.84,5000,4166.67,2100,1733.33,5900,0,0,26/01/2023,19/02/2023, Monthly ,23/07/2023,6,1,
4900002470,   BUSINESS,0.6,2000,2000,400,400,2400,0,0,16/03/2023,20/03/2023, Weekly ,03/07/2023,16,1,
4900002457,   BUSINESS,0.6,3000,2875,900,862.5,3737.5,0,0,15/03/2023,15/03/2023, Weekly ,23/08/2023,24,1,
4900002448,   BUSINESS,0.6,1500,1406.25,300,281.25,1687.5,0,0,14/03/2023,14/03/2023, Weekly ,27/06/2023,16,1,
4900002422,   BUSINESS,0.6,2000,1875,400,375,2250,0,0,12/03/2023,15/03/2023, Weekly ,28/06/2023,16,1,
4900002104,   BUSINESS,0.72,5000,5000,1800,1800,6800,0,0,29/08/2022,10/09/2023, Monthly ,14/02/2024,6,1,
4900000538,   BUSINESS,0.6,7000,6416.67,1050,962.33,7379,0,0,12/03/2023,13/03/2023, Weekly ,29/05/2023,12,1,
4900000904,   BUSINESS,0.48,33158.12,7306.01,9284.27,1326.38,8632.39,344.42,0,28/10/2021,11/10/2022, Monthly ,09/04/2023,7,1,
4900001908,   BUSINESS,0.72,20000,20000,4800,4800,24800,0,0,14/03/2023,05/04/2023, Monthly ,09/07/2023,4,1,
4900002453,   BUSINESS,0.6,1500,1406.25,300,281.25,1687.5,0,0,15/03/2023,16/03/2023, Weekly ,29/06/2023,16,1,
4900002086,   BUSINESS,0.84,3000,750,840,210,960,7.39,0,22/12/2022,26/12/2022, Weekly ,10/04/2023,16,1,
4900001411,   BUSINESS,0.96,3600,3600,1728,1728,5328,0,0,16/03/2023,16/04/2023, Monthly ,20/09/2023,6,1,
4900002004,   BUSINESS,0.6,7000,6416.67,1050,962.5,7379.17,0,0,16/03/2023,19/03/2023, Weekly ,04/06/2023,12,1,
4900002471,   BUSINESS,0.6,2000,2000,400,400,2400,0,0,16/03/2023,20/03/2023, Weekly ,03/07/2023,16,1,
4900000539,   BUSINESS,0.96,2000,1333.33,480,296.67,1630,6.51,0,26/01/2023,19/02/2023, Monthly ,19/04/2023,3,1,
4900002362,   BUSINESS,0.6,2000,625,400,125,750,6.25,0,15/12/2022,19/12/2022, Weekly ,03/04/2023,16,1,
4900002455,   BUSINESS,0.6,1500,1406.25,300,281.25,1687.5,0,0,15/03/2023,16/03/2023, Weekly ,29/06/2023,16,1,
4900001870,   BUSINESS,0.6,2000,500,500,124,624,4.46,0,03/11/2022,10/11/2022, Weekly ,23/03/2023,20,1,
4900000297,   BUSINESS,0.6,1500,1031.25,300,206.25,1237.5,0,0,08/02/2023,14/02/2023, Weekly ,30/05/2023,16,1,
4900001125,   BUSINESS,0.6,10000,9166.67,1500,1375,10541.67,0,0,12/03/2023,14/03/2023, Weekly ,30/05/2023,12,1,
4900002322,   BUSINESS,0.6,5000,3236.5,1500,937.5,4174,105.63,0,10/11/2022,15/11/2022, Weekly ,25/04/2023,24,1,
4900000703,   BUSINESS,0.6,7000,291.59,2100,68.41,360,1.81,0,06/10/2022,10/10/2022, Weekly ,20/03/2023,24,1,
4900000555,   BUSINESS,0.96,3000,3000,720,720,3720,0,0,15/03/2023,09/04/2023, Monthly ,11/06/2023,3,1,
4900000772,   BUSINESS,0.6,20000,20000,6000,6000,26000,0,0,16/03/2023,16/04/2023, Monthly ,20/09/2023,6,1,
4900002159,   BUSINESS,0.6,10000,10000,3000,3000,13000,0,0,16/03/2023,16/04/2023, Monthly ,20/09/2023,6,1,
4900002132,   BUSINESS,0.84,4000,4000,1120,1120,5120,0,0,29/12/2022,31/12/2023, Weekly ,14/04/2024,16,1,
4900001863,   BUSINESS,0.84,6000,420,840,0,420,0,0,27/02/2023,15/03/2023, Monthly ,16/04/2023,2,1,
4900002092,   BUSINESS,0.96,8000,8000,3840,3840,11840,0,0,12/03/2023,23/03/2023, Monthly ,27/08/2023,6,1,
4900002473,   BUSINESS,0.6,3000,3000,600,600,3600,0,0,16/03/2023,22/03/2023, Weekly ,05/07/2023,16,1,
4900000280,   BUSINESS,0.84,12000,10000,5040,4200,14200,0,0,08/02/2023,07/03/2023, Monthly ,13/08/2023,6,1,
4900002468,   BUSINESS,0.6,1500,1500,300,300,1800,0,0,16/03/2023,20/03/2023, Weekly ,03/07/2023,16,1,
4900002437,   BUSINESS,0.6,1500,1406.25,300,281.25,1687.5,0,0,14/03/2023,16/03/2023, Weekly ,29/06/2023,16,1,
4900002393,   BUSINESS,0.96,2000,1666.67,960,799.33,2466,18.2,0,06/02/2023,07/02/2023, Monthly ,11/07/2023,6,1,
4900002012,   BUSINESS,0.9,20000,20000,18000,18000,38000,0,0,12/03/2023,23/03/2023, Monthly ,29/02/2024,12,1,
4900002475,   BUSINESS,2.4,20000,20000,4000,4000,24000,0,0,16/03/2023,14/05/2023, Monthly ,14/05/2023,1,1,
4900002373,   BUSINESS,0.72,20000,16666.67,7200,5999.33,22666,35.82,0,22/12/2022,22/01/2023, Monthly ,25/06/2023,6,1,
4900001924,   BUSINESS,0.72,20000,18700,2400,1200,19900,0,0,30/01/2023,02/03/2023, Monthly ,02/04/2023,2,1,
4900002249,   BUSINESS,0.78,20000,13333.33,3900,2526.67,15860,0,0,06/02/2023,02/03/2023, Monthly ,02/05/2023,3,1,
4900002379,   BUSINESS,0.6,10000,6249.97,3000,1875,8124.97,0,0,15/01/2023,17/01/2023, Weekly ,27/06/2023,24,1,
4900002447,   BUSINESS,0.6,1000,937.5,200,187.5,1125,0,0,14/03/2023,14/03/2023, Weekly ,27/06/2023,16,1,
4900001441,   BUSINESS,0.6,4000,1062,1000,250,1312,8.92,0,17/11/2022,24/11/2022, Weekly ,06/04/2023,20,1,
4900000994,   BUSINESS,0.72,12000,9000,2880,2160,11160,0,0,26/01/2023,26/02/2023, Monthly ,28/05/2023,4,1,
4900001888,   BUSINESS,0.96,6000,6000,960,960,6960,0,0,16/03/2023,12/04/2023, Monthly ,14/05/2023,2,1,
4900001965,   BUSINESS,0.84,5000,2812.5,1400,787.5,3600,0,0,30/01/2023,05/02/2023, Weekly ,21/05/2023,16,1,
4900002253,   BUSINESS,0.6,3000,250,900,64,314,1.82,0,16/10/2022,16/10/2022, Weekly ,26/03/2023,24,1,
4900002271,   BUSINESS,0.96,8000,2666.68,3840,1280,3946.68,15.52,0,03/11/2022,20/11/2022, Monthly ,23/04/2023,6,1,
4900002440,   BUSINESS,0.6,2000,1875,400,375,2250,0,0,14/03/2023,19/03/2023, Weekly ,02/07/2023,16,1,
4900001636,   BUSINESS,0.6,3000,2812.5,600,562.5,3375,0,0,12/03/2023,15/03/2023, Weekly ,28/06/2023,16,1,
4900002290,   BUSINESS,0.6,1500,1014,225,150,1164,0,0,12/03/2023,12/03/2023, Weekly ,28/05/2023,12,1,
4900002247,   BUSINESS,0.84,4000,3250,1120,910,4160,0,0,27/02/2023,28/02/2023, Weekly ,13/06/2023,16,1,
4900002118,   BUSINESS,0.96,5000,4057,2400,1600,5657,168.04,0,06/11/2022,04/12/2022, Monthly ,07/05/2023,6,1,
4900001789,   BUSINESS,0.72,12000,12000,4320,4320,16320,0,0,27/02/2023,20/03/2023, Monthly ,23/08/2023,6,1,
4900002254,   BUSINESS,0.6,2000,318,600,75,393,3.87,0,16/10/2022,16/10/2022, Weekly ,26/03/2023,24,1,
4900002465,   BUSINESS,0.6,1000,937.5,200,187.5,1125,0,0,16/03/2023,19/03/2023, Weekly ,02/07/2023,16,1,
4900002033,   BUSINESS,0.72,15000,8750,5400,3150,11900,0,0,29/12/2022,12/01/2023, Bi-Weekly ,15/06/2023,12,1,
4900002456,   BUSINESS,0.6,2000,1875,400,375,2250,0,0,15/03/2023,16/03/2023, Weekly ,29/06/2023,16,1,
4900002222,   BUSINESS,0.96,5029.23,4581.54,2414.03,2011.72,6593.26,195.98,0,28/09/2022,21/12/2022, Monthly ,21/05/2023,6,1,
4900001696,   BUSINESS,0.6,10000,9166.66,3000,2738.34,11905,14.11,0,30/01/2023,05/02/2023, Weekly ,16/07/2023,24,1,
4900000550,   BUSINESS,0.84,14000,7024.79,7840,3920,10944.79,2.2,0,30/11/2022,04/12/2022, Weekly ,09/07/2023,32,1,
4900002420,   BUSINESS,0.6,10000,9375,2000,1875,11250,0,0,12/03/2023,15/03/2023, Weekly ,28/06/2023,16,1,
4900002174,   BUSINESS,0.72,3000,3000,1080,1080,4080,0,0,16/03/2023,16/04/2023, Monthly ,20/09/2023,6,1,
4900002356,   BUSINESS,0.6,5000,2083.38,1500,622.62,2706,2.67,0,08/12/2022,12/12/2022, Weekly ,22/05/2023,24,1,
4900000878,   BUSINESS,0.96,8000,4800,3200,1920,6720,0,0,15/01/2023,12/02/2023, Monthly ,14/06/2023,5,1,
4900002371,   BUSINESS,0.96,2500,1666.66,1200,800,2466.66,14.61,0,28/12/2022,22/01/2023, Monthly ,25/06/2023,6,1,
4900002421,   BUSINESS,0.6,10000,9375,2000,1875,11250,0,0,12/03/2023,15/03/2023, Weekly ,28/06/2023,16,1,
4900002398,   BUSINESS,0.6,5000,4375.01,1500,1311.99,5687,1.76,0,06/02/2023,07/02/2023, Weekly ,18/07/2023,24,1,
4900002446,   BUSINESS,0.6,1500,1406.25,300,281.25,1687.5,0,0,14/03/2023,14/03/2023, Weekly ,27/06/2023,16,1,
4900001172,   BUSINESS,0.6,2000,1625,400,325,1950,0,0,27/02/2023,28/02/2023, Weekly ,13/06/2023,16,1,
4900002466,   BUSINESS,0.6,2000,1875,400,375,2250,0,0,16/03/2023,19/03/2023, Weekly ,02/07/2023,16,1,
4900001322,   BUSINESS,0.6,2000,1875,400,375,2250,0,0,12/03/2023,16/03/2023, Weekly ,29/06/2023,16,1,
4900002075,   BUSINESS,0.6,4000,3400,1000,850,4250,0,0,27/02/2023,01/03/2023, Weekly ,12/07/2023,20,1,
4900002425,   BUSINESS,0.6,10000,9375,2000,1875,11250,0,0,12/03/2023,15/03/2023, Weekly ,28/06/2023,16,1,
4900000876,   BUSINESS,0.6,3000,1308,600,225,1533,14.59,0,22/12/2022,29/12/2022, Weekly ,13/04/2023,16,1,
4900000620,   BUSINESS,0.48,5000,3532,2400,1600,5132,0,0,03/11/2022,23/11/2022, Monthly ,01/11/2023,12,1,
4900002358,   BUSINESS,0.6,1000,187.5,200,33.5,221,0,0,08/12/2022,13/12/2022, Weekly ,28/03/2023,16,1,
4900002331,   BUSINESS,0.6,10000,2916.61,3000,875,3791.61,0,0,16/11/2022,23/11/2022, Weekly ,03/05/2023,24,1,
4900002044,   BUSINESS,0.96,2000,1000,640,320,1320,0,0,26/01/2023,12/02/2023, Monthly ,14/05/2023,4,1,
4900002376,   BUSINESS,0.9,20000,20000,18000,18000,38000,0,0,14/03/2023,23/03/2023, Monthly ,29/02/2024,12,1,
4900001374,   BUSINESS,0.84,2000,1625,560,455,2080,0,0,27/02/2023,01/03/2023, Weekly ,14/06/2023,16,1,
4900002417,   BUSINESS,0.6,1000,937.5,200,187.5,1125,0,0,12/03/2023,15/03/2023, Weekly ,28/06/2023,16,1,
4900002157,   BUSINESS,0.6,2000,1500,400,300,1800,0,0,27/02/2023,27/02/2023, Weekly ,12/06/2023,16,1,
4900002172,   BUSINESS,0.84,4000,2500,1120,694.5,3194.5,0,0,30/01/2023,06/02/2023, Weekly ,22/05/2023,16,1,
4900002273,   BUSINESS,0.96,5000,1666.68,2400,800,2466.68,6.48,0,03/11/2022,22/11/2022, Monthly ,23/04/2023,6,1,
4900002469,   BUSINESS,0.6,2000,2000,400,400,2400,0,0,16/03/2023,20/03/2023, Weekly ,03/07/2023,16,1,
4900002452,   BUSINESS,0.6,1500,1406.25,300,281.25,1687.5,0,0,15/03/2023,16/03/2023, Weekly ,29/06/2023,16,1,
4900002256,   BUSINESS,0.6,3000,250,900,64,314,3.81,0,13/10/2022,16/10/2022, Weekly ,26/03/2023,24,1,
4900002439,   BUSINESS,0.6,4000,3750,800,750,4500,0,0,15/03/2023,19/03/2023, Weekly ,02/07/2023,16,1,
4900002071,   BUSINESS,0.6,6000,4250,1800,1248,5498,0,0,26/01/2023,30/01/2023, Weekly ,10/07/2023,24,1,
4900000287,   BUSINESS,0.96,5000,4166.67,2400,2000,6166.67,0,0,27/02/2023,28/02/2023, Monthly ,06/08/2023,6,1,
4900002351,   BUSINESS,0.84,3000,937.5,840,262.5,1200,6.05,0,30/11/2022,07/12/2022, Weekly ,22/03/2023,16,1,
4900000435,   BUSINESS,0.96,10000,10000,4800,4800,14800,0,0,12/03/2023,27/03/2023, Monthly ,30/08/2023,6,1,
4900002309,   BUSINESS,0.6,5000,1250.06,1500,371.94,1622,21.67,0,06/11/2022,10/11/2022, Weekly ,20/04/2023,24,1,
4900002404,   BUSINESS,0.6,3000,2437.5,600,487.5,2925,0,0,27/02/2023,28/02/2023, Weekly ,13/06/2023,16,1,
4900002424,   BUSINESS,0.6,4000,3750,800,750,4500,0,0,12/03/2023,15/03/2023, Weekly ,28/06/2023,16,1,
4900002255,   BUSINESS,0.6,2000,83.41,600,25,108.41,10.41,0,16/10/2022,16/10/2022, Weekly ,26/03/2023,24,1,
4900000439,   BUSINESS,0.72,35600.04,35600.04,2136,2136,37736.04,0,0,01/06/2022,06/04/2023, Monthly ,06/04/2023,1,1,
4900002294,   BUSINESS,0.6,5000,1796,1500,500,2296,70.32,0,06/11/2022,06/11/2022, Weekly ,16/04/2023,24,1,
4900001923,   BUSINESS,0.72,20000,10000,2400,1200,11200,0,0,26/01/2023,02/03/2023, Monthly ,02/04/2023,2,1,
4900001739,   BUSINESS,0.6,2000,348.5,400,65,413.5,0.17,0,08/12/2022,13/12/2022, Daily ,03/04/2023,80,1,
4900002441,   BUSINESS,0.6,2000,1875,400,375,2250,0,0,15/03/2023,19/03/2023, Weekly ,02/07/2023,16,1,
4900002467,   BUSINESS,0.6,4000,4000,800,800,4800,0,0,16/03/2023,20/03/2023, Weekly ,03/07/2023,16,1,
4900002252,   BUSINESS,0.6,3000,466.5,900,112.5,579,8.22,0,16/10/2022,16/10/2022, Weekly ,26/03/2023,24,1,
4900002069,   BUSINESS,0.96,6000,4609,2880,1920,6529,307.36,0,03/11/2022,20/11/2022, Monthly ,23/04/2023,6,1,
4900000912,   BUSINESS,0.6,2000,416.73,600,125,541.73,0.14,0,03/11/2022,10/11/2022, Weekly ,20/04/2023,24,1,
4900001989,   BUSINESS,0.78,10000,10000,6500,6500,16500,354.82,0,31/10/2022,12/12/2022, Monthly ,17/09/2023,10,1,
4900001773,   BUSINESS,0.96,6000,180,2880,0,180,0,129.12,23/12/2021,13/01/2022, Monthly ,,6,0,
4900001971,   BUSINESS,0.6,2000,100,400,0,100,50.6,154.3,07/06/2022,16/06/2022, Weekly ,,16,0,
4900001582,   GROUP  ,0.6,2000,662.5,400,125,787.5,88.17,809.15,11/10/2021,18/10/2021, Weekly ,,16,0,
4900001806,   BUSINESS,0.84,1000,372.5,280,87.5,460,20.84,346.84,25/01/2022,30/01/2022, Weekly ,,16,0,
4900001368,   GROUP  ,0.84,2000,310,560,70,380,7.06,613.02,08/09/2021,15/09/2021, Weekly ,,16,0,
4900000569,   BUSINESS,0.72,5000,0,900,0,0,3.88,11.76,12/06/2022,07/07/2022, Monthly ,,3,0,
4900000569,   BUSINESS,0.84,1500,0,210,0,0,0,29.65,20/02/2020,12/03/2020, Monthly ,,2,0,
4900002296,   BUSINESS,0.6,1000,583.35,150,86.65,670,16.88,27.9,06/11/2022,07/11/2022, Weekly ,,12,0,
4900000642,   BUSINESS,0.6,1000,0,200,0,0,0,119.94,13/08/2020,20/08/2020, Weekly ,,16,0,
4900001167,   BUSINESS,0.72,2500,0,1800,0,0,0,5.57,30/01/2022,17/02/2022, Monthly ,,12,0,
4900001167,   BUSINESS,0.84,1500,0,630,0,0,0.81,1.62,11/07/2021,04/08/2021, Monthly ,,6,0,
4900001355,   GROUP  ,0.84,2000,0,560,0,0,0,66.99,08/09/2021,15/09/2021, Weekly ,,16,0,
4900001341,   GROUP  ,0.84,3000,1220,840,315,1535,67.35,2155.34,08/09/2021,15/09/2021, Weekly ,,16,0,
4900000531,   BUSINESS,0.96,7000,0,1120,0,0,0,22620.53,11/12/2019,22/12/2019, Weekly ,,8,0,
4900002083,   BUSINESS,0.72,10000,7500.01,3600,2465.99,9966,1416.55,647.72,28/07/2022,11/08/2022, Bi-Weekly ,,12,0,
4900001186,   BUSINESS,0.6,4000,1499.95,1200,430.05,1930,216.17,1648.6,18/07/2021,21/07/2021, Weekly ,,24,0,
4900001600,   GROUP  ,0.84,500,140,140,35,175,7.5,214.17,14/10/2021,21/10/2021, Weekly ,,16,0,
4900000790,   BUSINESS,0.96,4000,0,1920,0,0,10.1,0,28/12/2020,28/01/2021, Monthly ,,6,0,
4900001501,   BUSINESS,0.6,1500,0,300,0,0,77.29,62.34,22/09/2021,23/09/2021, Weekly ,,16,0,
4900001909,   BUSINESS,0.72,20000,0,7200,0,0,2247.59,1958.86,18/04/2022,05/05/2022, Monthly ,,6,0,
4900000178,   BUSINESS,0.84,10000,0,700,0,0,0,49.24,04/06/2020,03/07/2020, Monthly ,,1,0,
4900000178,   BUSINESS,0.84,20000,0,2800,0,0,0,60.4,22/08/2019,22/09/2019, Monthly ,,2,0,
